,bicycle.theft,x,y,xi,yi
2479,0.0,0.0,0.14285714285714285,0,3
2584,0.0,0.0,0.19047619047619047,0,4
2480,2.0,0.058823529411764705,0.14285714285714285,1,3
2585,0.0,0.058823529411764705,0.19047619047619047,1,4
2691,0.0,0.058823529411764705,0.23809523809523808,1,5
2481,1.0,0.11764705882352941,0.14285714285714285,2,3
2586,1.0,0.11764705882352941,0.19047619047619047,2,4
2692,1.0,0.11764705882352941,0.23809523809523808,2,5
2800,0.0,0.11764705882352941,0.2857142857142857,2,6
2908,0.0,0.11764705882352941,0.3333333333333333,2,7
3017,0.0,0.11764705882352941,0.38095238095238093,2,8
3129,0.0,0.11764705882352941,0.42857142857142855,2,9
2379,0.0,0.17647058823529413,0.09523809523809523,3,2
2482,0.0,0.17647058823529413,0.14285714285714285,3,3
2587,3.0,0.17647058823529413,0.19047619047619047,3,4
2693,2.0,0.17647058823529413,0.23809523809523808,3,5
2801,0.0,0.17647058823529413,0.2857142857142857,3,6
2909,1.0,0.17647058823529413,0.3333333333333333,3,7
3018,0.0,0.17647058823529413,0.38095238095238093,3,8
3130,2.0,0.17647058823529413,0.42857142857142855,3,9
3848,8.0,0.17647058823529413,0.7142857142857143,3,15
3969,7.0,0.17647058823529413,0.7619047619047619,3,16
4088,5.0,0.17647058823529413,0.8095238095238095,3,17
4203,2.0,0.17647058823529413,0.8571428571428571,3,18
4324,1.0,0.17647058823529413,0.9047619047619048,3,19
4436,0.0,0.17647058823529413,0.9523809523809523,3,20
2380,6.0,0.23529411764705882,0.09523809523809523,4,2
2483,1.0,0.23529411764705882,0.14285714285714285,4,3
2588,2.0,0.23529411764705882,0.19047619047619047,4,4
2694,3.0,0.23529411764705882,0.23809523809523808,4,5
2802,3.0,0.23529411764705882,0.2857142857142857,4,6
2910,1.0,0.23529411764705882,0.3333333333333333,4,7
3019,0.0,0.23529411764705882,0.38095238095238093,4,8
3131,0.0,0.23529411764705882,0.42857142857142855,4,9
3605,1.0,0.23529411764705882,0.6190476190476191,4,13
3727,2.0,0.23529411764705882,0.6666666666666666,4,14
3849,1.0,0.23529411764705882,0.7142857142857143,4,15
3970,4.0,0.23529411764705882,0.7619047619047619,4,16
4089,1.0,0.23529411764705882,0.8095238095238095,4,17
4204,1.0,0.23529411764705882,0.8571428571428571,4,18
4325,0.0,0.23529411764705882,0.9047619047619048,4,19
4437,3.0,0.23529411764705882,0.9523809523809523,4,20
2381,3.0,0.29411764705882354,0.09523809523809523,5,2
2484,1.0,0.29411764705882354,0.14285714285714285,5,3
2589,0.0,0.29411764705882354,0.19047619047619047,5,4
2695,1.0,0.29411764705882354,0.23809523809523808,5,5
2803,4.0,0.29411764705882354,0.2857142857142857,5,6
2911,0.0,0.29411764705882354,0.3333333333333333,5,7
3020,3.0,0.29411764705882354,0.38095238095238093,5,8
3132,5.0,0.29411764705882354,0.42857142857142855,5,9
3247,0.0,0.29411764705882354,0.47619047619047616,5,10
3367,1.0,0.29411764705882354,0.5238095238095238,5,11
3485,1.0,0.29411764705882354,0.5714285714285714,5,12
3606,1.0,0.29411764705882354,0.6190476190476191,5,13
3728,1.0,0.29411764705882354,0.6666666666666666,5,14
3850,2.0,0.29411764705882354,0.7142857142857143,5,15
3971,2.0,0.29411764705882354,0.7619047619047619,5,16
4090,0.0,0.29411764705882354,0.8095238095238095,5,17
4205,0.0,0.29411764705882354,0.8571428571428571,5,18
4326,2.0,0.29411764705882354,0.9047619047619048,5,19
4438,11.0,0.29411764705882354,0.9523809523809523,5,20
4550,5.0,0.29411764705882354,1.0,5,21
2485,0.0,0.35294117647058826,0.14285714285714285,6,3
2590,1.0,0.35294117647058826,0.19047619047619047,6,4
2696,0.0,0.35294117647058826,0.23809523809523808,6,5
2804,1.0,0.35294117647058826,0.2857142857142857,6,6
2912,2.0,0.35294117647058826,0.3333333333333333,6,7
3021,3.0,0.35294117647058826,0.38095238095238093,6,8
3133,0.0,0.35294117647058826,0.42857142857142855,6,9
3248,1.0,0.35294117647058826,0.47619047619047616,6,10
3368,0.0,0.35294117647058826,0.5238095238095238,6,11
3486,1.0,0.35294117647058826,0.5714285714285714,6,12
3607,1.0,0.35294117647058826,0.6190476190476191,6,13
3729,3.0,0.35294117647058826,0.6666666666666666,6,14
3851,1.0,0.35294117647058826,0.7142857142857143,6,15
3972,10.0,0.35294117647058826,0.7619047619047619,6,16
4091,2.0,0.35294117647058826,0.8095238095238095,6,17
4206,1.0,0.35294117647058826,0.8571428571428571,6,18
4327,6.0,0.35294117647058826,0.9047619047619048,6,19
4439,0.0,0.35294117647058826,0.9523809523809523,6,20
4551,9.0,0.35294117647058826,1.0,6,21
2486,1.0,0.4117647058823529,0.14285714285714285,7,3
2591,1.0,0.4117647058823529,0.19047619047619047,7,4
2697,1.0,0.4117647058823529,0.23809523809523808,7,5
2805,3.0,0.4117647058823529,0.2857142857142857,7,6
2913,0.0,0.4117647058823529,0.3333333333333333,7,7
3022,1.0,0.4117647058823529,0.38095238095238093,7,8
3134,1.0,0.4117647058823529,0.42857142857142855,7,9
3249,2.0,0.4117647058823529,0.47619047619047616,7,10
3369,1.0,0.4117647058823529,0.5238095238095238,7,11
3487,3.0,0.4117647058823529,0.5714285714285714,7,12
3608,1.0,0.4117647058823529,0.6190476190476191,7,13
3730,2.0,0.4117647058823529,0.6666666666666666,7,14
3852,2.0,0.4117647058823529,0.7142857142857143,7,15
3973,3.0,0.4117647058823529,0.7619047619047619,7,16
4092,2.0,0.4117647058823529,0.8095238095238095,7,17
4207,3.0,0.4117647058823529,0.8571428571428571,7,18
4328,1.0,0.4117647058823529,0.9047619047619048,7,19
4440,3.0,0.4117647058823529,0.9523809523809523,7,20
2487,0.0,0.47058823529411764,0.14285714285714285,8,3
2592,0.0,0.47058823529411764,0.19047619047619047,8,4
2698,0.0,0.47058823529411764,0.23809523809523808,8,5
2806,0.0,0.47058823529411764,0.2857142857142857,8,6
2914,4.0,0.47058823529411764,0.3333333333333333,8,7
3023,1.0,0.47058823529411764,0.38095238095238093,8,8
3135,1.0,0.47058823529411764,0.42857142857142855,8,9
3250,0.0,0.47058823529411764,0.47619047619047616,8,10
3370,0.0,0.47058823529411764,0.5238095238095238,8,11
3488,1.0,0.47058823529411764,0.5714285714285714,8,12
3609,1.0,0.47058823529411764,0.6190476190476191,8,13
3731,2.0,0.47058823529411764,0.6666666666666666,8,14
3853,2.0,0.47058823529411764,0.7142857142857143,8,15
3974,3.0,0.47058823529411764,0.7619047619047619,8,16
4093,8.0,0.47058823529411764,0.8095238095238095,8,17
4208,1.0,0.47058823529411764,0.8571428571428571,8,18
2385,1.0,0.5294117647058824,0.09523809523809523,9,2
2488,0.0,0.5294117647058824,0.14285714285714285,9,3
2593,2.0,0.5294117647058824,0.19047619047619047,9,4
2699,2.0,0.5294117647058824,0.23809523809523808,9,5
2807,0.0,0.5294117647058824,0.2857142857142857,9,6
2915,3.0,0.5294117647058824,0.3333333333333333,9,7
3024,7.0,0.5294117647058824,0.38095238095238093,9,8
3136,0.0,0.5294117647058824,0.42857142857142855,9,9
3251,0.0,0.5294117647058824,0.47619047619047616,9,10
3371,4.0,0.5294117647058824,0.5238095238095238,9,11
3489,0.0,0.5294117647058824,0.5714285714285714,9,12
3610,1.0,0.5294117647058824,0.6190476190476191,9,13
4094,8.0,0.5294117647058824,0.8095238095238095,9,17
2187,0.0,0.5882352941176471,0.0,10,0
2285,0.0,0.5882352941176471,0.047619047619047616,10,1
2386,1.0,0.5882352941176471,0.09523809523809523,10,2
2489,0.0,0.5882352941176471,0.14285714285714285,10,3
2594,3.0,0.5882352941176471,0.19047619047619047,10,4
2700,0.0,0.5882352941176471,0.23809523809523808,10,5
2808,1.0,0.5882352941176471,0.2857142857142857,10,6
2916,5.0,0.5882352941176471,0.3333333333333333,10,7
3025,4.0,0.5882352941176471,0.38095238095238093,10,8
3137,4.0,0.5882352941176471,0.42857142857142855,10,9
3252,5.0,0.5882352941176471,0.47619047619047616,10,10
3372,4.0,0.5882352941176471,0.5238095238095238,10,11
3490,1.0,0.5882352941176471,0.5714285714285714,10,12
3611,10.0,0.5882352941176471,0.6190476190476191,10,13
2188,0.0,0.6470588235294118,0.0,11,0
2286,0.0,0.6470588235294118,0.047619047619047616,11,1
2387,2.0,0.6470588235294118,0.09523809523809523,11,2
2490,1.0,0.6470588235294118,0.14285714285714285,11,3
2595,0.0,0.6470588235294118,0.19047619047619047,11,4
2701,1.0,0.6470588235294118,0.23809523809523808,11,5
2809,0.0,0.6470588235294118,0.2857142857142857,11,6
2917,1.0,0.6470588235294118,0.3333333333333333,11,7
3026,0.0,0.6470588235294118,0.38095238095238093,11,8
3138,1.0,0.6470588235294118,0.42857142857142855,11,9
3253,0.0,0.6470588235294118,0.47619047619047616,11,10
3373,2.0,0.6470588235294118,0.5238095238095238,11,11
3491,8.0,0.6470588235294118,0.5714285714285714,11,12
3612,1.0,0.6470588235294118,0.6190476190476191,11,13
3734,2.0,0.6470588235294118,0.6666666666666666,11,14
2189,0.0,0.7058823529411765,0.0,12,0
2287,2.0,0.7058823529411765,0.047619047619047616,12,1
2388,6.0,0.7058823529411765,0.09523809523809523,12,2
2491,0.0,0.7058823529411765,0.14285714285714285,12,3
2596,0.0,0.7058823529411765,0.19047619047619047,12,4
2702,1.0,0.7058823529411765,0.23809523809523808,12,5
2810,1.0,0.7058823529411765,0.2857142857142857,12,6
2918,1.0,0.7058823529411765,0.3333333333333333,12,7
3027,2.0,0.7058823529411765,0.38095238095238093,12,8
3139,2.0,0.7058823529411765,0.42857142857142855,12,9
3254,2.0,0.7058823529411765,0.47619047619047616,12,10
3374,2.0,0.7058823529411765,0.5238095238095238,12,11
3492,1.0,0.7058823529411765,0.5714285714285714,12,12
3613,1.0,0.7058823529411765,0.6190476190476191,12,13
3735,2.0,0.7058823529411765,0.6666666666666666,12,14
2288,2.0,0.7647058823529411,0.047619047619047616,13,1
2389,0.0,0.7647058823529411,0.09523809523809523,13,2
2492,3.0,0.7647058823529411,0.14285714285714285,13,3
2597,0.0,0.7647058823529411,0.19047619047619047,13,4
2703,2.0,0.7647058823529411,0.23809523809523808,13,5
2811,0.0,0.7647058823529411,0.2857142857142857,13,6
2919,1.0,0.7647058823529411,0.3333333333333333,13,7
3028,2.0,0.7647058823529411,0.38095238095238093,13,8
3140,2.0,0.7647058823529411,0.42857142857142855,13,9
3255,1.0,0.7647058823529411,0.47619047619047616,13,10
3375,2.0,0.7647058823529411,0.5238095238095238,13,11
3493,2.0,0.7647058823529411,0.5714285714285714,13,12
3614,1.0,0.7647058823529411,0.6190476190476191,13,13
3736,1.0,0.7647058823529411,0.6666666666666666,13,14
2289,0.0,0.8235294117647058,0.047619047619047616,14,1
2390,0.0,0.8235294117647058,0.09523809523809523,14,2
2493,0.0,0.8235294117647058,0.14285714285714285,14,3
2598,0.0,0.8235294117647058,0.19047619047619047,14,4
2704,0.0,0.8235294117647058,0.23809523809523808,14,5
2812,0.0,0.8235294117647058,0.2857142857142857,14,6
2920,0.0,0.8235294117647058,0.3333333333333333,14,7
3029,0.0,0.8235294117647058,0.38095238095238093,14,8
3141,1.0,0.8235294117647058,0.42857142857142855,14,9
3256,2.0,0.8235294117647058,0.47619047619047616,14,10
2494,0.0,0.8823529411764706,0.14285714285714285,15,3
2599,0.0,0.8823529411764706,0.19047619047619047,15,4
2705,0.0,0.8823529411764706,0.23809523809523808,15,5
2813,0.0,0.8823529411764706,0.2857142857142857,15,6
2921,1.0,0.8823529411764706,0.3333333333333333,15,7
3030,0.0,0.8823529411764706,0.38095238095238093,15,8
3257,1.0,0.8823529411764706,0.47619047619047616,15,10
2600,0.0,0.9411764705882353,0.19047619047619047,16,4
2706,0.0,0.9411764705882353,0.23809523809523808,16,5
2814,0.0,0.9411764705882353,0.2857142857142857,16,6
2601,1.0,1.0,0.19047619047619047,18,4
